Date,Dow Jones
01.04.04,null
01.05.04,10188.4502
01.06.04,10435.48047
01.07.04,10139.70996
01.08.04,10173.91992
01.09.04,10080.26953
01.10.04,10027.46973
01.11.04,10428.01953
01.12.04,10783.00977
01.01.05,10489.94043
01.02.05,10766.23047
01.03.05,10503.75977
01.04.05,10192.50977
01.05.05,10467.48047
01.06.05,10274.96973
01.07.05,10640.91016
01.08.05,10481.59961
01.09.05,10568.7002
01.10.05,10440.07031
01.11.05,10805.87012
01.12.05,10717.5
01.01.06,10864.86035
01.02.06,10993.41016
01.03.06,11109.32031
01.04.06,11367.13965
01.05.06,11168.30957
01.06.06,11150.21973
01.07.06,11185.67969
01.08.06,11381.15039
01.09.06,11679.07031
01.10.06,12080.73047
01.11.06,12221.92969
01.12.06,12463.15039
01.01.07,12621.69043
01.02.07,12268.62988
01.03.07,12354.34961
01.04.07,13062.91016
01.05.07,13627.63965
01.06.07,13408.62012
01.07.07,13211.99023
01.08.07,13357.74023
01.09.07,13895.62988
01.10.07,13930.00977
01.11.07,13371.71973
01.12.07,13264.82031
01.01.08,12650.36035
01.02.08,12266.38965
01.03.08,12262.88965
01.04.08,12820.12988
01.05.08,12638.32031
01.06.08,11350.00977
01.07.08,11378.01953
01.08.08,11543.95996
01.09.08,10850.66016
01.10.08,9325.009766
01.11.08,8829.040039
01.12.08,8776.389648
01.01.09,8000.859863
01.02.09,7062.930176
01.03.09,7608.919922
01.04.09,8168.120117
01.05.09,8500.330078
01.06.09,8447
01.07.09,9171.610352
01.08.09,9496.280273
01.09.09,9712.280273
01.10.09,9712.730469
01.11.09,10344.83984
01.12.09,10428.04981
01.01.10,10067.33008
01.02.10,10325.25977
01.03.10,10856.62988
01.04.10,11008.61035
01.05.10,10136.62988
01.06.10,9774.019531
01.07.10,10465.94043
01.08.10,10014.71973
01.09.10,10788.04981
01.10.10,11118.49023
01.11.10,11006.01953
01.12.10,11577.50977
01.01.11,11891.92969
01.02.11,12226.33984
01.03.11,12319.73047
01.04.11,12810.54004
01.05.11,12569.79004
01.06.11,12414.33984
01.07.11,12143.24023
01.08.11,11613.53027
01.09.11,10913.37988
01.10.11,11955.00977
01.11.11,12045.67969
01.12.11,12217.55957
01.01.12,12632.91016
01.02.12,12952.07031
01.03.12,13212.04004
01.04.12,13213.62988
01.05.12,12393.4502
01.06.12,12880.08984
01.07.12,13008.67969
01.08.12,13090.83984
01.09.12,13437.12988
01.10.12,13096.45996
01.11.12,13025.58008
01.12.12,13104.13965
01.01.13,13860.58008
01.02.13,14054.49023
01.03.13,14578.54004
01.04.13,14839.79981
01.05.13,15115.57031
01.06.13,14909.59961
01.07.13,15499.54004
01.08.13,14810.30957
01.09.13,15129.66992
01.10.13,15545.75
01.11.13,16086.41016
01.12.13,16576.66016
01.01.14,15698.84961
01.02.14,16321.70996
01.03.14,16457.66016
01.04.14,16580.83984
01.05.14,16717.16992
01.06.14,16826.59961
01.07.14,16563.30078
01.08.14,17098.44922
01.09.14,17042.90039
01.10.14,17390.51953
01.11.14,17828.24023
01.12.14,17823.07031
01.01.15,17164.94922
01.02.15,18132.69922
01.03.15,17776.11914
01.04.15,17840.51953
01.05.15,18010.67969
01.06.15,17619.50977
01.07.15,17689.85938
01.08.15,16528.0293
01.09.15,16284.7002
01.10.15,17663.53906
01.11.15,17719.91992
01.12.15,17425.0293
01.01.16,16466.30078
01.02.16,16516.5
01.03.16,17685.08984
01.04.16,17773.64063
01.05.16,17787.19922
01.06.16,17929.99023
01.07.16,18432.24023
01.08.16,18400.88086
01.09.16,18308.15039
01.10.16,18142.41992
01.11.16,19123.58008
01.12.16,19762.59961
01.01.17,19864.08984
01.02.17,20812.24023
01.03.17,20663.2207
01.04.17,20940.50977
01.05.17,21008.65039
01.06.17,21349.63086
01.07.17,21891.11914
01.08.17,21948.09961
01.09.17,22405.08984
01.10.17,23377.24023
01.11.17,24272.34961
01.12.17,24719.2207
01.01.18,26149.39063
01.02.18,25029.19922
01.03.18,24103.10938
01.04.18,24360.14063
13.04.18,24360.14063